member_id,plan_id,plan_type,valuation_date,status,age,gender,service_years,retirement_age_assumption,salary_current,salary_5y_avg,salary_growth_assumption,contribution_rate_employee,contribution_rate_employer,accrual_rate,benefit_formula,termination_rate,mortality_table,mortality_improvement_scale,discount_rate_base,inflation_assumption,expected_return_on_assets,asset_allocation_equity,asset_allocation_fixed_income,asset_allocation_alts,asset_allocation_cash,assets_market_value_member,liability_pv_member,funded_ratio_member,liability_duration,benefit_payments_next_year_member,probability_retirement_next_year,probability_mortality_next_year,scenario_id,shock_interest_rate_bps,shock_equity_return,shock_inflation_bps,surplus_change_scenario_member,VaR_95_member,CTE_99_member,country,currency
M00001,P003,DC,12/31/2025,Active,49,F,17,61,805947.6944,730115.026,0.050649324,0.114419159,0.1772201,,account_balance,0.020860233,IALM_2012-14_Ultimate,None,0.05847777,0.058088335,0.094961908,0.320357146,0.368273543,0.092873641,0.218495671,7826683.772,7826683.772,1,15.68701662,0,0,0.0062,baseline,0,0,0,0,884757.3859,1503818.633,IN,INR
M00002,P006,DC,12/31/2025,Deferred,50,M,20,62,1512975.735,1334113.562,0.064926371,0.075391129,0.179441078,,account_balance,0.089809757,VBT-2015,None,0.072185155,0.036401696,0.098833881,0.253893973,0.121474,0.553478076,0.071153951,17450084.28,17450084.28,1,12.30293517,0,0,0.0065,rate_down_100bps,-100,0,50,-2040885.979,2409095.453,4094730.022,IN,INR
M00003,P005,DB,12/31/2025,Active,50,M,17,67,794836.5896,737390.9146,0.038221539,0.062722358,0.114365807,0.015217526,career_average,0.060096215,RP-2010,MP-2021,0.06694178,0.040727061,0.0715408,0.391317208,0.552449129,0.047088263,0.0091454,1737352.242,2093501.769,0.829878564,10.97444504,0,0,0.0065,rate_up_100bps,100,0,-50,181760.2645,243442.9213,413778.9714,IN,INR
M00004,P004,Hybrid,12/31/2025,Active,45,M,14,65,653481.0547,614022.5083,0.031630931,0.063977172,0.071602845,0.062281408,cash_balance,0.043721962,RP-2014,MP-2021,0.078907363,0.042873248,0.06746518,0.463646998,0.349091832,0.092932906,0.094328264,710859.6037,763126.9964,0.931508919,17.18980867,0,0,0.005,baseline,0,0,0,0,111933.9289,190253.6566,IN,INR
M00005,P001,DB,12/31/2025,Active,42,F,13,60,1780840.367,1594280.4,0.05689086,0.058525423,0.069644457,0.013603455,flat,0.017722926,RP-2010,None,0.064521693,0.051372393,0.093275687,0.308891525,0.264076613,0.304045131,0.12298673,2609765.287,3438880.588,0.758899654,12.1971908,0,0,0.0041,baseline,0,0,0,0,315483.4866,536226.0356,IN,INR
M00006,P001,DB,12/31/2025,Active,42,F,21,62,1021506.173,937564.5305,0.043806299,0.017773615,0.062366208,0.018316047,final_average,0.092940304,RP-2010,MP-2021,0.056188826,0.051037096,0.083297214,0.270649035,0.614032424,0.112888956,0.002429585,5509717.41,6213648.79,0.886712075,17.23036594,0,0,0.0041,rate_down_100bps,-100,0,50,-901477.1678,606026.5257,1030060.891,IN,INR
M00007,P001,DB,12/31/2025,Active,42,M,17,65,1004066.807,945137.5701,0.030703597,0.003359319,0.095861587,0.016530766,final_average,0.072535397,RP-2014,MP-2021,0.059440997,0.058851734,0.09537473,0.392369015,0.54057749,0.044595821,0.022457674,3738785.118,4688338.703,0.797464807,17.65151793,0,0,0.0041,baseline,0,0,0,0,523275.8508,889409.896,IN,INR
M00008,P006,DC,12/31/2025,Active,55,M,14,65,869188.9812,803529.1433,0.04005496,0.117005831,0.168496857,,account_balance,0.12608536,RP-2014,MP-2021,0.071831328,0.035655363,0.073900716,0.520237454,0.468794215,0.006925498,0.004042833,5290403.439,5290403.439,1,12.65797633,0,0,0.008,equity_down_20,0,-0.2,0,-550453.2036,938027.2916,1594361.281,IN,INR
M00009,P004,Hybrid,12/31/2025,Active,50,M,8,66,757926.6168,697558.7529,0.042373071,0.042752215,0.094837592,0.10723443,cash_balance,0.07268788,IAM-2012,MP-2021,0.067994193,0.043521886,0.083250164,0.720870334,0.241791785,0.036309887,0.001027994,766361.5082,713162.892,1.074595323,15.46470093,0,0,0.0065,high_inflation,150,-0.05,300,123912.905,182755.5743,310628.9275,IN,INR
M00010,P004,Hybrid,12/31/2025,Active,20,F,16,63,909290.0063,817459.6427,0.054673535,0.006180424,0.078718172,0.057648514,cash_balance,0.042161185,RP-2014,MP-2020,0.051704344,0.036111975,0.083088477,0.244067457,0.440900143,0.14185846,0.17317394,1060325.026,986598.9512,1.074727501,12.56899267,0,0,0.0005,baseline,0,0,0,0,101336.1836,172240.7108,IN,INR
M00011,P001,DB,12/31/2025,Active,51,M,5,67,230474.4222,214361.1663,0.036903432,0.081496734,0.130408102,0.017564405,final_average,0.010652721,IALM_2012-14_Ultimate,MI-2012,0.05839782,0.050176879,0.067529274,0.441057397,0.396358315,0.153876053,0.008708235,296394.589,280652.577,1.056090745,14.90800342,0,0,0.0068,equity_down_20,0,-0.2,0,-26145.40516,45445.5027,77243.54136,IN,INR
M00012,P006,DC,12/31/2025,Active,46,F,13,64,427555.3128,390387.0817,0.046522174,0.116339109,0.100074763,,account_balance,0.014608937,IAM-2012,MP-2020,0.061869459,0.036390926,0.099677268,0.121590167,0.56075897,0.243681253,0.073969609,2036798.162,2036798.162,1,15.9467824,0,0,0.0053,equity_down_20,0,-0.2,0,-49530.92594,170153.5146,289209.2565,IN,INR
M00013,P005,DB,12/31/2025,Active,44,M,10,65,1174723.312,1066932.771,0.049299018,0.091363275,0.098665271,0.02319755,final_average,0.055110006,IALM_2012-14_Ultimate,MI-2012,0.079014382,0.056036795,0.086562372,0.438272246,0.258786913,0.286681929,0.016258912,4367840.187,3649686.863,1.196771216,14.7460748,0,0,0.0047,baseline,0,0,0,0,685712.3806,1165502.624,IN,INR
M00014,P002,DB,12/31/2025,Active,40,F,3,64,1676551.925,1525415.858,0.048369496,0.015441011,0.09907485,0.013338001,final_average,0.035054763,IAM-2012,MP-2021,0.079217078,0.059482216,0.086565814,0.184775315,0.419023366,0.025709508,0.37049181,716168.3375,708412.4765,1.010948228,11.60609004,0,0,0.0035,rate_up_100bps,100,0,-50,67214.42652,52962.12343,90019.51192,IN,INR
M00015,P002,DB,12/31/2025,Active,55,F,14,61,1818641.669,1591571.501,0.068957631,0.005693496,0.076046077,0.011390676,career_average,0.051746453,IAM-2012,None,0.077919505,0.039505206,0.071874786,0.242316667,0.578796407,0.105441993,0.073444933,2510736.413,2988194.925,0.840218418,11.77349064,0,0,0.008,rate_up_100bps,100,0,-50,279154.5891,251748.5841,427896.0737,IN,INR
M00016,P002,DB,12/31/2025,Active,53,M,7,67,640081.43,601211.3927,0.03182017,0.04823161,0.080522507,0.01754644,final_average,0.066604516,IALM_2012-14_Ultimate,MP-2021,0.082738459,0.052180857,0.08601529,0.306891143,0.524612275,0.08082859,0.087667992,1420522.85,1237277.264,1.148103898,16.755322,0,0,0.0074,rate_down_100bps,-100,0,50,-170048.6033,162785.4804,276685.8378,IN,INR
M00017,P002,DB,12/31/2025,Active,36,M,13,61,1073859.469,941398.387,0.068038727,0.018912934,0.126015763,0.016695816,final_average,0.055081154,VBT-2015,MP-2021,0.084955189,0.045984022,0.093319042,0.490758294,0.455608649,0.047784352,0.005848706,2426865.215,2876190.477,0.843777641,14.07645158,0,0,0.0023,rate_up_100bps,100,0,-50,349580.5209,407397.7392,692452.3276,IN,INR
M00018,P003,DC,12/31/2025,Active,48,M,6,62,366933.6067,330751.5479,0.053277489,0.080054166,0.172287066,,account_balance,0.173333333,VBT-2015,MP-2021,0.052844329,0.040778374,0.0925401,0.308600588,0.282965122,0.242719972,0.165714318,653060.6453,653060.6453,1,17.11417,0,0,0.0059,baseline,0,0,0,0,75572.82417,128450.8306,IN,INR
M00019,P003,DC,12/31/2025,Active,34,M,17,66,840602.974,745558.4017,0.061829109,0.071828641,0.139379162,,account_balance,0.073737724,RP-2010,None,0.069722292,0.035736795,0.096789001,0.40416872,0.393245568,0.178938657,0.023647055,5870658.077,5870658.077,1,12.76948417,0,0,0.0017,baseline,0,0,0,0,839231.6097,1426438.651,IN,INR
M00020,P002,DB,12/31/2025,Active,30,F,26,64,1426395.952,1300672.04,0.047215705,0.041261968,0.137561196,0.013204274,final_average,0.003614997,VBT-2015,None,0.055958371,0.051576243,0.065947125,0.418655507,0.370070854,0.036430326,0.174843313,4417559.134,5076839.125,0.870139673,11.36940458,0,0,0.0005,high_inflation,150,-0.05,300,650727.0555,630424.5305,1071530.083,IN,INR
M00021,P004,Hybrid,12/31/2025,Active,38,M,5,66,976886.9319,889189.8765,0.048153515,0.092674777,0.108074317,0.089224304,cash_balance,0.123939088,RP-2010,MP-2021,0.064162405,0.034762292,0.067313097,0.463301977,0.379189362,0.142697718,0.014810943,446468.409,440008.3019,1.014681785,14.47388721,0,0,0.0029,rate_up_100bps,100,0,-50,55221.50176,71194.59571,121009.173,IN,INR
M00022,P001,DB,12/31/2025,Active,53,F,6,64,848065.7894,747462.1342,0.06517306,0.038441821,0.122742926,0.02456288,final_average,0.104225403,VBT-2015,MP-2021,0.076527882,0.038419125,0.088406749,0.191672836,0.754526264,0.033185895,0.020615004,1514643.363,1873814.984,0.808320659,17.01010453,0,0,0.0074,baseline,0,0,0,0,148138.6178,251790.6233,IN,INR
M00023,P002,DB,12/31/2025,Active,54,M,4,63,978738.6927,861558.682,0.06583738,0.009310928,0.103553703,0.021037048,final_average,0.079634419,RP-2010,None,0.074066349,0.057588346,0.092309546,0.247336101,0.575961512,0.123135257,0.053567131,1003533.7,979615.5059,1.0244159,13.51219817,0,0,0.0077,rate_up_100bps,100,0,-50,103467.7491,102561.3794,174323.1714,IN,INR
M00024,P003,DC,12/31/2025,Active,49,M,9,67,1753775.409,1622875.685,0.039547555,0.067988111,0.085185321,,account_balance,0.085901251,RP-2010,MI-2012,0.055142385,0.045250937,0.086972403,0.274075362,0.579282259,0.078421637,0.068220742,3256076.016,3256076.016,1,11.50036463,0,0,0.0062,equity_down_20,0,-0.2,0,-178482.0425,351304.4086,597110.7152,IN,INR
M00025,P003,DC,12/31/2025,Active,51,M,13,60,881944.3647,818600.2228,0.037969675,0.064615379,0.171158406,,account_balance,0.027951176,RP-2014,MP-2020,0.080283263,0.055622538,0.065714327,0.40877417,0.468643289,0.073228485,0.049354056,3794686.958,3794686.958,1,10.99376038,0,0,0.0068,baseline,0,0,0,0,542465.353,922026.217,IN,INR
M00026,P005,DB,12/31/2025,Active,49,M,16,66,1017327.751,923011.0009,0.049849407,0.018515169,0.063918596,0.012232838,career_average,0.075330189,RP-2010,MP-2021,0.08148067,0.053026321,0.083797936,0.059803157,0.73761055,0.157544246,0.045042047,2088273.477,2356262.79,0.8862651,13.04276375,0,0,0.0062,rate_down_100bps,-100,0,50,-230305.1615,170357.3142,289555.6538,IN,INR
M00027,P002,DB,12/31/2025,Active,38,M,12,62,1950756.041,1716641.163,0.066011081,0.046656171,0.048498114,0.016659367,career_average,0.051110251,IALM_2012-14_Ultimate,MP-2021,0.055567355,0.041287168,0.089935258,0.302775898,0.566936703,0.028612118,0.101675281,5909013.673,5727291.506,1.031729163,16.68898901,0,0,0.0029,baseline,0,0,0,0,676024.4355,1149036.062,IN,INR
M00028,P003,DC,12/31/2025,Active,48,M,16,66,888469.1006,816886.692,0.042894204,0.091232489,0.116075429,,account_balance,0.019722296,IALM_2012-14_Ultimate,MP-2021,0.074626362,0.036540734,0.065479221,0.100503104,0.523045145,0.320563797,0.055887954,4500466.881,4500466.881,1,11.57105338,0,0,0.0059,rate_up_100bps,100,0,-50,403054.0575,396540.3651,673998.0917,IN,INR
M00029,P004,Hybrid,12/31/2025,Active,52,M,10,62,471448.2272,422707.4383,0.056080585,0.087261797,0.103755073,0.066892206,cash_balance,0.034833328,RP-2010,MP-2021,0.087809172,0.032997323,0.062233369,0.289067761,0.505023956,0.142727433,0.06318085,392876.4295,374332.7277,1.049538019,13.9835306,0,0,0.0071,rate_up_100bps,100,0,-50,42424.3311,43614.81083,74131.92162,IN,INR
M00030,P001,DB,12/31/2025,Active,52,M,7,64,1822616.399,1627257.518,0.058326068,0.004926073,0.052222013,0.008144821,flat,0.046541315,IALM_2012-14_Ultimate,MP-2021,0.053757634,0.058818835,0.070191921,0.16360988,0.462221441,0.359663541,0.014505138,908398.4913,979479.2544,0.927430047,10.55745849,0,0,0.0071,equity_down_20,0,-0.2,0,-29724.59365,90928.05136,154550.0496,IN,INR
M00031,P004,Hybrid,12/31/2025,Active,56,M,6,66,1555049.078,1380997.873,0.061146987,0.016090336,0.139057685,0.065190034,cash_balance,0.020630618,VBT-2015,MP-2021,0.056584271,0.039741039,0.063630072,0.29819901,0.397520599,0.079918008,0.224362382,562473.3642,603022.8202,0.932756349,15.68754389,0,0,0.0083,high_inflation,150,-0.05,300,116743.1482,60126.75048,102197.2002,IN,INR
M00032,P001,DB,12/31/2025,Active,51,M,10,64,363124.3141,327766.1498,0.052556978,0.027529014,0.079322928,0.011553048,career_average,0.122325903,IALM_2012-14_Ultimate,MP-2020,0.080620982,0.050193442,0.065941575,0.14385273,0.724349285,0.129862926,0.001935059,446977.0218,497285.7494,0.898833361,13.13243709,0,0,0.0068,baseline,0,0,0,0,39999.66463,67987.27193,IN,INR
M00033,P001,DB,12/31/2025,Active,48,M,6,65,928584.5024,848548.1983,0.046098207,0.059486585,0.131995545,0.016844243,career_average,0.084914023,RP-2014,MI-2012,0.063477028,0.051908947,0.068134959,0.14687579,0.73036624,0.119313506,0.003444463,870864.2026,955981.5301,0.910963418,11.14731392,0,0,0.0059,baseline,0,0,0,0,78311.50861,133105.7617,IN,INR
M00034,P006,DC,12/31/2025,Active,55,F,13,66,974838.2043,853565.1157,0.06868064,0.117719365,0.124600382,,account_balance,0.044991361,IALM_2012-14_Ultimate,None,0.088222864,0.035930491,0.081227672,0.527068586,0.406185269,0.029931661,0.036814483,4467147.626,4467147.626,1,15.79463899,0,0,0.008,high_inflation,150,-0.05,300,804543.3845,795503.7275,1352114.542,IN,INR
M00035,P006,DC,12/31/2025,Active,44,M,6,65,1822815.523,1639411.87,0.05445323,0.067932432,0.136162274,,account_balance,0.015952593,VBT-2015,MP-2020,0.074974522,0.050814087,0.066234343,0.353201926,0.54009821,0.088205505,0.018494359,2433487.198,2433487.198,1,15.55238071,0,0,0.0047,rate_up_100bps,100,0,-50,312749.0896,313987.8499,533683.9079,IN,INR
